Row,Date,Day,Time,Hour,Shift,System_Name,LPAR_Name,Sysplex_Name,Environment,Application_Name,Application_Type,CPU_Usage_Pct,CPU_MSU,Memory_Usage_Pct,DASD_IO_Rate,Channel_Busy_Pct,Batch_Jobs_Running,Online_Transactions_Per_Sec,WLM_Service_Class,WLM_Goal_Pct,Alert_Level
21,2026-03-02,Monday,13:00,13,Afternoon,ZOS3,LTEST1,SYSPLEX2,Test,CICS_TestBank,CICS,18.9,95,30.5,1200,9.4,5,110,TESTCLS,98.4,Normal
22,2026-03-02,Monday,14:15,14,Afternoon,ZOS2,LPROD2,SYSPLEX1,Production,DB2_CoreBank,DB2,71.4,407,77.8,9200,49.5,24,880,HIGHPROD,92.1,Warning
23,2026-03-02,Monday,15:00,15,Afternoon,ZOS4,LUAT1,SYSPLEX2,UAT,DB2_UAT_Core,DB2,35.2,182,48.9,2400,20.1,10,280,UATCLS,95.6,Normal
24,2026-03-02,Monday,16:30,16,Afternoon,ZOS1,LPROD1,SYSPLEX1,Production,IMS_Payments,IMS,62.5,356,73.1,8800,44.2,22,760,HIGHPROD,93.5,Warning
25,2026-03-02,Monday,17:00,17,Evening,ZOS2,LPROD2,SYSPLEX1,Production,CICS_Insurance,CICS,48.3,275,65.4,6500,33.7,16,520,HIGHPROD,96.2,Normal
26,2026-03-02,Monday,18:30,18,Evening,ZOS1,LPROD1,SYSPLEX1,Production,MQ_Middleware,MQ Series,38.7,220,58.2,4800,28.9,14,380,MEDPROD,97.4,Normal
27,2026-03-02,Monday,20:00,20,Evening,ZOS3,LTEST1,SYSPLEX2,Test,MQ_TestMW,MQ Series,10.5,52,20.3,650,4.8,2,25,TESTCLS,99.5,Normal
28,2026-03-02,Monday,22:00,22,Night,ZOS1,LPROD1,SYSPLEX1,Production,Batch_EOD,Batch,92.1,525,93.8,16200,72.5,48,20,BATCHHI,87.2,Critical
29,2026-03-02,Monday,23:30,23,Night,ZOS2,LPROD2,SYSPLEX1,Production,Batch_Recon,Batch,78.9,450,84.6,13800,61.8,42,15,BATCHHI,90.1,Critical
30,2026-03-03,Tuesday,00:15,0,Night,ZOS1,LPROD1,SYSPLEX1,Production,Batch_EOD,Batch,88.4,504,90.5,15200,66.3,46,10,BATCHHI,86.8,Critical
31,2026-03-03,Tuesday,02:00,2,Night,ZOS2,LPROD2,SYSPLEX1,Production,DB2_CoreBank,DB2,22.8,130,42.1,2600,12.5,10,140,MEDPROD,98.8,Normal
32,2026-03-03,Tuesday,04:30,4,Night,ZOS4,LUAT1,SYSPLEX2,UAT,Batch_UAT_Run,Batch,18.1,92,32.4,1350,10.2,7,0,UATCLS,97.2,Normal
33,2026-03-03,Tuesday,06:00,6,Morning,ZOS1,LPROD1,SYSPLEX1,Production,CICS_Banking,CICS,42.6,243,62.8,5500,30.4,16,420,HIGHPROD,96.8,Normal
34,2026-03-03,Tuesday,07:30,7,Morning,ZOS2,LPROD2,SYSPLEX1,Production,CICS_Insurance,CICS,58.4,333,71.5,8200,43.6,21,710,HIGHPROD,94.2,Warning
35,2026-03-03,Tuesday,08:00,8,Morning,ZOS3,LTEST1,SYSPLEX2,Test,IMS_TestPay,IMS,14.2,71,26.8,980,7.5,4,65,TESTCLS,99.0,Normal
36,2026-03-03,Tuesday,09:15,9,Morning,ZOS1,LPROD1,SYSPLEX1,Production,DB2_CoreBank,DB2,72.8,415,80.1,10800,51.4,27,920,HIGHPROD,91.5,Warning
37,2026-03-03,Tuesday,10:00,10,Morning,ZOS2,LPROD2,SYSPLEX1,Production,MQ_Middleware,MQ Series,65.3,372,74.8,9100,46.8,24,830,HIGHPROD,92.9,Warning
38,2026-03-03,Tuesday,11:30,11,Morning,ZOS1,LPROD1,SYSPLEX1,Production,CICS_Banking,CICS,84.7,483,87.5,14200,62.8,33,1320,HIGHPROD,87.8,Critical
39,2026-03-03,Tuesday,12:00,12,Afternoon,ZOS4,LUAT1,SYSPLEX2,UAT,CICS_UAT_Bank,CICS,30.5,158,44.2,2100,17.3,9,220,UATCLS,96.1,Normal
40,2026-03-03,Tuesday,13:15,13,Afternoon,ZOS2,LPROD2,SYSPLEX1,Production,IMS_Payments,IMS,58.9,336,69.7,7600,41.2,20,680,HIGHPROD,94.5,Warning
41,2026-03-03,Tuesday,14:00,14,Afternoon,ZOS1,LPROD1,SYSPLEX1,Production,CICS_Banking,CICS,80.2,457,84.3,12600,58.5,31,1180,HIGHPROD,89.1,Critical
42,2026-03-03,Tuesday,15:30,15,Afternoon,ZOS3,LTEST1,SYSPLEX2,Test,DB2_TestLoan,DB2,16.8,84,29.4,1050,8.1,4,75,TESTCLS,98.6,Normal
43,2026-03-03,Tuesday,16:00,16,Afternoon,ZOS2,LPROD2,SYSPLEX1,Production,DB2_CoreBank,DB2,68.1,388,76.2,9500,47.1,25,860,HIGHPROD,92.4,Warning
44,2026-03-03,Tuesday,17:30,17,Evening,ZOS1,LPROD1,SYSPLEX1,Production,MQ_Middleware,MQ Series,52.4,299,67.8,7200,36.9,19,580,HIGHPROD,95.3,Warning
45,2026-03-03,Tuesday,19:00,19,Evening,ZOS2,LPROD2,SYSPLEX1,Production,CICS_Insurance,CICS,35.6,203,55.1,4200,24.8,12,340,MEDPROD,97.6,Normal
46,2026-03-03,Tuesday,21:00,21,Evening,ZOS4,LUAT1,SYSPLEX2,UAT,MQ_UAT_MW,MQ Series,12.8,65,24.6,780,6.2,3,45,UATCLS,99.2,Normal
47,2026-03-03,Tuesday,23:00,23,Night,ZOS1,LPROD1,SYSPLEX1,Production,Batch_EOD,Batch,90.5,516,92.4,15600,70.1,47,18,BATCHHI,86.5,Critical
48,2026-03-04,Wednesday,00:30,0,Night,ZOS2,LPROD2,SYSPLEX1,Production,Batch_Recon,Batch,76.3,435,82.8,13100,59.4,40,12,BATCHHI,91.2,Critical
49,2026-03-04,Wednesday,02:15,2,Night,ZOS1,LPROD1,SYSPLEX1,Production,DB2_CoreBank,DB2,20.5,117,40.2,2400,11.8,8,100,MEDPROD,99.0,Normal
50,2026-03-04,Wednesday,04:00,4,Night,ZOS3,LTEST1,SYSPLEX2,Test,Batch_TestRun,Batch,11.2,56,22.8,720,5.4,4,0,TESTCLS,99.4,Normal
51,2026-03-04,Wednesday,06:30,6,Morning,ZOS1,LPROD1,SYSPLEX1,Production,CICS_Banking,CICS,48.9,279,66.5,6800,34.2,18,490,HIGHPROD,95.8,Normal
52,2026-03-04,Wednesday,07:00,7,Morning,ZOS2,LPROD2,SYSPLEX1,Production,IMS_Payments,IMS,42.1,240,60.4,5200,29.8,15,410,HIGHPROD,96.5,Normal
53,2026-03-04,Wednesday,08:45,8,Morning,ZOS4,LUAT1,SYSPLEX2,UAT,DB2_UAT_Core,DB2,25.4,131,36.8,1650,13.5,7,170,UATCLS,97.8,Normal
54,2026-03-04,Wednesday,09:30,9,Morning,ZOS1,LPROD1,SYSPLEX1,Production,MQ_Middleware,MQ Series,74.6,425,81.2,11500,54.3,28,980,HIGHPROD,90.8,Critical
55,2026-03-04,Wednesday,10:15,10,Morning,ZOS2,LPROD2,SYSPLEX1,Production,CICS_Insurance,CICS,69.8,398,77.1,9800,48.9,25,900,HIGHPROD,92.0,Warning
56,2026-03-04,Wednesday,11:00,11,Morning,ZOS1,LPROD1,SYSPLEX1,Production,DB2_CoreBank,DB2,81.5,465,86.2,13500,60.5,32,1150,HIGHPROD,88.4,Critical
57,2026-03-04,Wednesday,12:30,12,Afternoon,ZOS3,LTEST1,SYSPLEX2,Test,CICS_TestBank,CICS,19.5,98,31.2,1280,9.8,5,120,TESTCLS,98.2,Normal
58,2026-03-04,Wednesday,13:00,13,Afternoon,ZOS2,LPROD2,SYSPLEX1,Production,DB2_CoreBank,DB2,73.2,418,79.5,10200,50.8,26,870,HIGHPROD,91.6,Warning
59,2026-03-04,Wednesday,14:30,14,Afternoon,ZOS1,LPROD1,SYSPLEX1,Production,CICS_Banking,CICS,86.3,492,89.1,14800,64.2,34,1380,HIGHPROD,86.9,Critical
60,2026-03-04,Wednesday,15:00,15,Afternoon,ZOS4,LUAT1,SYSPLEX2,UAT,IMS_UAT_Pay,IMS,32.8,169,46.5,2300,18.7,9,240,UATCLS,95.9,Normal
61,2026-03-04,Wednesday,16:15,16,Afternoon,ZOS2,LPROD2,SYSPLEX1,Production,CICS_Insurance,CICS,62.4,356,72.8,8600,44.8,22,780,HIGHPROD,93.7,Warning
62,2026-03-04,Wednesday,17:30,17,Evening,ZOS1,LPROD1,SYSPLEX1,Production,IMS_Payments,IMS,50.8,290,66.1,6900,35.4,18,560,HIGHPROD,95.5,Warning
63,2026-03-04,Wednesday,19:00,19,Evening,ZOS2,LPROD2,SYSPLEX1,Production,MQ_Middleware,MQ Series,36.2,206,54.8,4100,23.5,11,320,MEDPROD,97.8,Normal
64,2026-03-04,Wednesday,21:30,21,Evening,ZOS3,LTEST1,SYSPLEX2,Test,IMS_TestPay,IMS,9.8,49,19.5,580,4.2,2,30,TESTCLS,99.6,Normal
65,2026-03-04,Wednesday,23:15,23,Night,ZOS1,LPROD1,SYSPLEX1,Production,Batch_EOD,Batch,91.8,524,93.2,16000,71.8,48,15,BATCHHI,86.2,Critical
66,2026-03-05,Thursday,00:45,0,Night,ZOS2,LPROD2,SYSPLEX1,Production,Batch_Recon,Batch,80.4,459,85.8,14000,63.5,43,10,BATCHHI,89.8,Critical
67,2026-03-05,Thursday,02:30,2,Night,ZOS1,LPROD1,SYSPLEX1,Production,Batch_EOD,Batch,65.2,372,74.1,10100,48.6,35,8,BATCHHI,92.5,Warning
68,2026-03-05,Thursday,04:15,4,Night,ZOS4,LUAT1,SYSPLEX2,UAT,Batch_UAT_Run,Batch,15.6,80,28.1,1100,8.5,5,0,UATCLS,98.5,Normal
69,2026-03-05,Thursday,06:00,6,Morning,ZOS2,LPROD2,SYSPLEX1,Production,CICS_Insurance,CICS,44.8,255,63.5,5800,31.2,16,450,HIGHPROD,96.4,Normal
70,2026-03-05,Thursday,07:30,7,Morning,ZOS1,LPROD1,SYSPLEX1,Production,CICS_Banking,CICS,58.2,332,71.8,8400,42.1,21,690,HIGHPROD,94.1,Warning
71,2026-03-05,Thursday,08:00,8,Morning,ZOS3,LTEST1,SYSPLEX2,Test,DB2_TestLoan,DB2,13.5,68,25.4,890,7.1,3,55,TESTCLS,99.1,Normal
72,2026-03-05,Thursday,09:45,9,Morning,ZOS2,LPROD2,SYSPLEX1,Production,DB2_CoreBank,DB2,70.5,402,78.9,10400,50.2,26,910,HIGHPROD,91.9,Warning
73,2026-03-05,Thursday,10:30,10,Morning,ZOS1,LPROD1,SYSPLEX1,Production,MQ_Middleware,MQ Series,78.1,445,83.6,12200,57.4,30,1080,HIGHPROD,89.5,Critical
74,2026-03-05,Thursday,11:00,11,Morning,ZOS4,LUAT1,SYSPLEX2,UAT,CICS_UAT_Bank,CICS,27.9,144,40.8,1900,14.8,8,190,UATCLS,97.1,Normal
75,2026-03-05,Thursday,12:15,12,Afternoon,ZOS2,LPROD2,SYSPLEX1,Production,CICS_Insurance,CICS,76.8,438,82.1,11800,55.2,28,1020,HIGHPROD,90.2,Critical
76,2026-03-05,Thursday,13:30,13,Afternoon,ZOS1,LPROD1,SYSPLEX1,Production,CICS_Banking,CICS,85.9,490,88.8,14500,63.8,33,1350,HIGHPROD,87.1,Critical
77,2026-03-05,Thursday,14:00,14,Afternoon,ZOS3,LTEST1,SYSPLEX2,Test,MQ_TestMW,MQ Series,11.8,59,23.1,750,5.8,3,35,TESTCLS,99.3,Normal
78,2026-03-05,Thursday,15:15,15,Afternoon,ZOS2,LPROD2,SYSPLEX1,Production,IMS_Payments,IMS,60.1,343,70.5,8100,42.5,21,720,HIGHPROD,93.9,Warning
79,2026-03-05,Thursday,16:45,16,Afternoon,ZOS1,LPROD1,SYSPLEX1,Production,DB2_CoreBank,DB2,67.4,384,75.9,9400,46.3,24,840,HIGHPROD,92.6,Warning
80,2026-03-05,Thursday,18:00,18,Evening,ZOS2,LPROD2,SYSPLEX1,Production,MQ_Middleware,MQ Series,40.5,231,59.2,5000,27.4,13,360,MEDPROD,97.1,Normal
81,2026-03-05,Thursday,20:00,20,Evening,ZOS4,LUAT1,SYSPLEX2,UAT,DB2_UAT_Core,DB2,20.3,105,34.5,1400,11.2,6,130,UATCLS,98.0,Normal
82,2026-03-05,Thursday,22:30,22,Night,ZOS1,LPROD1,SYSPLEX1,Production,Batch_EOD,Batch,93.4,533,94.5,16500,73.2,49,12,BATCHHI,85.8,Critical
83,2026-03-06,Friday,00:00,0,Night,ZOS2,LPROD2,SYSPLEX1,Production,Batch_Recon,Batch,82.1,468,87.2,14600,65.1,44,8,BATCHHI,89.1,Critical
84,2026-03-06,Friday,02:00,2,Night,ZOS1,LPROD1,SYSPLEX1,Production,DB2_CoreBank,DB2,24.6,140,44.8,2800,13.2,9,110,MEDPROD,98.6,Normal
85,2026-03-06,Friday,03:30,3,Night,ZOS3,LTEST1,SYSPLEX2,Test,CICS_TestBank,CICS,7.5,38,18.2,520,3.8,2,20,TESTCLS,99.7,Normal
86,2026-03-06,Friday,05:00,5,Night,ZOS2,LPROD2,SYSPLEX1,Production,IMS_Payments,IMS,30.8,176,52.4,3500,19.5,12,250,MEDPROD,98.0,Normal
87,2026-03-06,Friday,07:15,7,Morning,ZOS1,LPROD1,SYSPLEX1,Production,CICS_Banking,CICS,56.5,322,70.8,8000,41.8,20,670,HIGHPROD,94.5,Warning
88,2026-03-06,Friday,08:30,8,Morning,ZOS4,LUAT1,SYSPLEX2,UAT,MQ_UAT_MW,MQ Series,18.4,95,30.8,1200,9.5,5,80,UATCLS,98.3,Normal
89,2026-03-06,Friday,09:00,9,Morning,ZOS2,LPROD2,SYSPLEX1,Production,CICS_Insurance,CICS,72.4,413,79.8,10600,52.1,27,960,HIGHPROD,91.4,Warning
90,2026-03-06,Friday,10:45,10,Morning,ZOS1,LPROD1,SYSPLEX1,Production,DB2_CoreBank,DB2,83.8,478,87.9,13800,61.2,32,1200,HIGHPROD,88.0,Critical
91,2026-03-06,Friday,11:30,11,Morning,ZOS2,LPROD2,SYSPLEX1,Production,MQ_Middleware,MQ Series,68.5,391,76.5,9600,48.5,25,880,HIGHPROD,92.2,Warning
92,2026-03-06,Friday,12:00,12,Afternoon,ZOS3,LTEST1,SYSPLEX2,Test,IMS_TestPay,IMS,16.2,82,28.5,1020,7.8,4,60,TESTCLS,98.8,Normal
93,2026-03-06,Friday,13:45,13,Afternoon,ZOS1,LPROD1,SYSPLEX1,Production,CICS_Banking,CICS,87.2,497,90.2,15200,66.8,35,1420,HIGHPROD,86.4,Critical
94,2026-03-06,Friday,14:30,14,Afternoon,ZOS4,LUAT1,SYSPLEX2,UAT,CICS_UAT_Bank,CICS,33.6,173,47.8,2250,18.2,9,260,UATCLS,95.7,Normal
95,2026-03-06,Friday,15:00,15,Afternoon,ZOS2,LPROD2,SYSPLEX1,Production,DB2_CoreBank,DB2,74.8,427,80.5,11100,53.6,27,940,HIGHPROD,91.0,Warning
96,2026-03-06,Friday,16:30,16,Afternoon,ZOS1,LPROD1,SYSPLEX1,Production,IMS_Payments,IMS,55.2,315,68.4,7500,38.1,19,620,HIGHPROD,94.8,Warning
97,2026-03-06,Friday,18:00,18,Evening,ZOS2,LPROD2,SYSPLEX1,Production,CICS_Insurance,CICS,42.8,244,61.5,5400,30.5,14,430,HIGHPROD,96.6,Normal
98,2026-03-06,Friday,20:30,20,Evening,ZOS3,LTEST1,SYSPLEX2,Test,Batch_TestRun,Batch,10.1,51,21.4,680,5.1,3,0,TESTCLS,99.5,Normal
99,2026-03-06,Friday,22:00,22,Night,ZOS1,LPROD1,SYSPLEX1,Production,Batch_EOD,Batch,94.2,537,95.1,16800,74.5,50,10,BATCHHI,85.2,Critical
100,2026-03-06,Friday,23:45,23,Night,ZOS2,LPROD2,SYSPLEX1,Production,Batch_Recon,Batch,81.6,465,86.5,14200,64.2,43,8,BATCHHI,89.5,Critical
